N was 6
M was 7
0, arrived 30, Rejected 0, In line 30, at 9:0:0
1, arrived 24, Rejected 0, In line 24, at 9:1:0
2, arrived 29, Rejected 0, In line 29, at 9:2:0
3, arrived 29, Rejected 0, In line 29, at 9:3:0
4, arrived 32, Rejected 0, In line 32, at 9:4:0
5, arrived 21, Rejected 0, In line 21, at 9:5:0
6, arrived 23, Rejected 0, In line 23, at 9:6:0
7, arrived 29, Rejected 0, In line 29, at 9:7:0
8, arrived 22, Rejected 0, In line 22, at 9:8:0
9, arrived 26, Rejected 0, In line 26, at 9:9:0
10, arrived 25, Rejected 0, In line 25, at 9:10:0
11, arrived 26, Rejected 0, In line 26, at 9:11:0
12, arrived 23, Rejected 0, In line 23, at 9:12:0
13, arrived 25, Rejected 0, In line 25, at 9:13:0
14, arrived 34, Rejected 0, In line 34, at 9:14:0
15, arrived 32, Rejected 0, In line 32, at 9:15:0
16, arrived 27, Rejected 0, In line 27, at 9:16:0
17, arrived 28, Rejected 0, In line 28, at 9:17:0
18, arrived 20, Rejected 0, In line 20, at 9:18:0
19, arrived 26, Rejected 0, In line 26, at 9:19:0
20, arrived 15, Rejected 0, In line 15, at 9:20:0
21, arrived 21, Rejected 0, In line 21, at 9:21:0
22, arrived 20, Rejected 0, In line 20, at 9:22:0
23, arrived 29, Rejected 0, In line 29, at 9:23:0
24, arrived 20, Rejected 0, In line 20, at 9:24:0
25, arrived 24, Rejected 0, In line 24, at 9:25:0
26, arrived 19, Rejected 0, In line 19, at 9:26:0
27, arrived 19, Rejected 0, In line 19, at 9:27:0
28, arrived 42, Rejected 0, In line 42, at 9:28:0
29, arrived 21, Rejected 0, In line 21, at 9:29:0
30, arrived 25, Rejected 0, In line 25, at 9:30:0
31, arrived 30, Rejected 0, In line 30, at 9:31:0
32, arrived 26, Rejected 0, In line 26, at 9:32:0
33, arrived 22, Rejected 0, In line 22, at 9:33:0
34, arrived 27, Rejected 0, In line 27, at 9:34:0
35, arrived 25, Rejected 0, In line 25, at 9:35:0
36, arrived 25, Rejected 0, In line 25, at 9:36:0
37, arrived 35, Rejected 0, In line 35, at 9:37:0
38, arrived 22, Rejected 0, In line 22, at 9:38:0
39, arrived 29, Rejected 0, In line 29, at 9:39:0
40, arrived 25, Rejected 0, In line 25, at 9:40:0
41, arrived 29, Rejected 0, In line 29, at 9:41:0
42, arrived 24, Rejected 0, In line 24, at 9:42:0
43, arrived 31, Rejected 0, In line 31, at 9:43:0
44, arrived 22, Rejected 0, In line 22, at 9:44:0
45, arrived 23, Rejected 0, In line 23, at 9:45:0
46, arrived 29, Rejected 0, In line 29, at 9:46:0
47, arrived 32, Rejected 0, In line 32, at 9:47:0
48, arrived 18, Rejected 0, In line 18, at 9:48:0
49, arrived 33, Rejected 0, In line 33, at 9:49:0
50, arrived 25, Rejected 0, In line 25, at 9:50:0
51, arrived 18, Rejected 0, In line 18, at 9:51:0
52, arrived 21, Rejected 0, In line 21, at 9:52:0
53, arrived 27, Rejected 0, In line 27, at 9:53:0
